	status = StatusCode.UNKNOWN
	details = "Exception calling application: <_Rendezvous of RPC that terminated with:
	status = StatusCode.UNKNOWN
	details = "Exception calling application: '10.5.16.206'"
	debug_error_string = "{"created":"@1556779310.750460637","description":"Error received from peer","file":"src/core/lib/surface/call.cc","file_line":1039,"grpc_message":"Exception calling application: '10.5.16.206'","grpc_status":2}"
>"
	debug_error_string = "{"created":"@1556779283.680605605","description":"Error received from peer","file":"src/core/lib/surface/call.cc","file_line":1039,"grpc_message":"Exception calling application: <_Rendezvous of RPC that terminated with:\n\tstatus = StatusCode.UNKNOWN\n\tdetails = "Exception calling application: '10.5.16.206'"\n\tdebug_error_string = "{"created":"@1556779310.750460637","description":"Error received from peer","file":"src/core/lib/surface/call.cc","file_line":1039,"grpc_message":"Exception calling application: '10.5.16.206'","grpc_status":2}"\n>","grpc_status":2}"
>
[229 @    getattr()] getattr /
[238 @    getattr()] <_Rendezvous of RPC that terminated with:
	status = StatusCode.UNAVAILABLE
	details = "Connection reset by peer"
	debug_error_string = "{"created":"@1556779993.849210521","description":"Error received from peer","file":"src/core/lib/surface/call.cc","file_line":1039,"grpc_message":"Connection reset by peer","grpc_status":14}"
>
[214 @ changeChannel()] change channel
[254 @    readdir()] readdir /
[229 @    getattr()] getattr /ass7
[254 @    readdir()] readdir /ass7
[229 @    getattr()] getattr /ass7/yay
[254 @    readdir()] readdir /ass7/yay
[229 @    getattr()] getattr /ass7/yay/Makefile
[485 @   __init__()] fileinit ../myfs-replicas/10.5.16.206/ass7/yay/Makefile 34816 <class 'tuple'>
[536 @       read()] read ../myfs-replicas/10.5.16.206/ass7/yay/Makefile 4096 0
[515 @      get_v()] get_v ../myfs-replicas/10.5.16.206/ass7/yay/Makefile
[530 @      get_v()] get_v ../myfs-replicas/10.5.16.206/ass7/yay/Makefile 0 425
[540 @       read()] init vno = 0
[599 @       read()] vno read = 0
[677 @      flush()] flush
[631 @    _fflush()] _fflush 0
[691 @       lock()] lock
[631 @    _fflush()] _fflush 0
[661 @    release()] release
